,taxiid,start,idotart,tavolsag,viteldij,borravalo,fizmod
947,6065,2016-12-01 02:30:00,60,0.0,8.0,0.0,bankkártya
1238,5243,2016-12-01 09:15:00,480,0.0,6.75,0.0,készpénz
1228,5114,2016-12-01 09:30:00,420,0.0,6.0,2.0,bankkártya
951,2118,2016-12-01 20:45:00,780,0.0,11.75,0.0,bankkártya
101,4531,2016-12-01 21:15:00,540,0.0,7.25,0.0,készpénz
1098,6535,2016-12-01 21:30:00,840,0.0,8.0,0.0,készpénz
368,710,2016-12-01 21:45:00,360,0.0,6.25,0.0,készpénz
33,2643,2016-12-01 23:45:00,180,0.0,4.25,0.0,készpénz
756,7939,2016-12-02 04:15:00,300,0.0,5.75,0.0,készpénz
502,2863,2016-12-02 07:45:00,360,0.0,6.75,1.0,bankkártya
1749,5400,2016-12-02 09:30:00,780,0.0,9.25,0.0,készpénz
737,6197,2016-12-02 13:30:00,60,0.0,3.25,0.0,készpénz
306,4044,2016-12-02 13:45:00,960,0.0,11.0,0.0,készpénz
741,1026,2016-12-02 15:45:00,300,0.0,5.5,0.0,készpénz
719,3773,2016-12-02 16:00:00,420,0.0,6.0,0.0,készpénz
651,569,2016-12-02 17:00:00,180,0.0,4.5,2.0,bankkártya
723,6078,2016-12-02 17:00:00,540,0.0,7.0,2.0,bankkártya
21,3449,2016-12-02 17:15:00,60,0.0,3.25,0.0,készpénz
345,4611,2016-12-02 19:00:00,600,0.0,7.5,0.0,készpénz
1202,6562,2016-12-02 20:00:00,240,0.0,5.25,0.0,készpénz
1354,1901,2016-12-02 21:45:00,60,0.0,3.25,0.0,készpénz
1227,1322,2016-12-02 23:15:00,600,0.0,8.0,2.0,bankkártya
1677,5628,2016-12-03 00:30:00,420,0.0,6.75,0.0,készpénz
721,3163,2016-12-03 00:45:00,420,0.0,10.25,0.0,készpénz
1198,5857,2016-12-03 02:00:00,540,0.0,8.0,0.0,készpénz
1610,8709,2016-12-03 08:30:00,180,0.0,5.25,0.0,készpénz
688,8117,2016-12-03 14:45:00,420,0.0,6.5,1.0,bankkártya
